"조회기간","시도","시군구","용도업종(소)","판매량"
"2016-10","서울특별시","도봉구","식료품제조","483075"
"2016-10","서울특별시","도봉구","재생재료","21207"
"2016-10","서울특별시","도봉구","가구및기타","30645"
"2016-10","서울특별시","도봉구","자동차","93147"
"2016-10","서울특별시","도봉구","의료.광학","14905"
"2016-10","서울특별시","도봉구","영상.음향","29510"
"2016-10","서울특별시","도봉구","전기기기","25869"
"2016-10","서울특별시","도봉구","기타기계","22007"
"2016-10","서울특별시","도봉구","조립금속","19153"
"2016-10","서울특별시","도봉구","1차금속","1594"
"2016-10","서울특별시","도봉구","출판.인쇄","331112"
"2016-10","서울특별시","도봉구","목재.나무","4283"
"2016-10","서울특별시","도봉구","농업.임업","17575"
"2016-10","서울특별시","도봉구","사업자용","104406"
"2016-10","서울특별시","도봉구","기타공공용","1814103"
"2016-10","서울특별시","도봉구","관공용","1118497"
"2016-10","서울특별시","도봉구","수도","536240"
"2016-10","서울특별시","도봉구","국군용","23696"
"2016-10","서울특별시","동대문구","가정용","35955635"
"2016-10","서울특별시","동대문구","사무기기","1841"
"2016-10","서울특별시","동대문구","기타기계","93471"
"2016-10","서울특별시","동대문구","조립금속","132823"
"2016-10","서울특별시","동대문구","1차금속","59982"
"2016-10","서울특별시","동대문구","출판.인쇄","179673"
"2016-10","서울특별시","동대문구","펄프.종이","60422"
"2016-10","서울특별시","동대문구","목재.나무","15242"
"2016-10","서울특별시","동대문구","금속비금속","5122"
"2016-10","서울특별시","동대문구","농업.임업","18775"
"2016-10","서울특별시","동대문구","섬유","1586065"
"2016-10","서울특별시","동대문구","음료품제조","1483"
"2016-10","서울특별시","동대문구","식료품제조","568010"
"2016-10","서울특별시","동대문구","가구및기타","130954"
"2016-10","서울특별시","동대문구","기타운송","245146"
"2016-10","서울특별시","동대문구","자동차","16417"
"2016-10","서울특별시","동대문구","의료.광학","140806"
"2016-10","서울특별시","동대문구","영상.음향","18528"
"2016-10","서울특별시","동대문구","전기기기","52727"
"2016-10","서울특별시","동대문구","시멘트","8483"
"2016-10","서울특별시","동대문구","유리","5736"
"2016-10","서울특별시","동대문구","고무.플라","105426"
"2016-10","서울특별시","동대문구","화학제품","45557"
"2016-10","서울특별시","동대문구","석유정제","82300"
"2016-10","서울특별시","동대문구","가죽.신발","50498"
"2016-10","서울특별시","동대문구","의복.모피","2123334"
"2016-10","서울특별시","동대문구","관공용","2120318"
"2016-10","서울특별시","동대문구","수도","752984"
"2016-10","서울특별시","동대문구","사업자용","192426"
"2016-10","서울특별시","동대문구","순수써비스","49297382"
"2016-10","서울특별시","동대문구","전철","4505177"
"2016-10","서울특별시","동대문구","기타공공용","6228257"
"2016-10","서울특별시","동대문구","국군용","625"
"2016-10","서울특별시","동작구","가정용","37070228"
"2016-10","서울특별시","동작구","어업","385"
"2016-10","서울특별시","동작구","화학제품","22836"
"2016-10","서울특별시","동작구","가죽.신발","14549"
"2016-10","서울특별시","동작구","의복.모피","177683"
"2016-10","서울특별시","동작구","섬유","49052"
"2016-10","서울특별시","동작구","음료품제조","603803"
"2016-10","서울특별시","동작구","식료품제조","239702"
"2016-10","서울특별시","동작구","가구및기타","87006"
"2016-10","서울특별시","동작구","의료.광학","34076"
"2016-10","서울특별시","동작구","영상.음향","2482"
"2016-10","서울특별시","동작구","시멘트","1057"
"2016-10","서울특별시","동작구","유리","870"
"2016-10","서울특별시","동작구","고무.플라","16241"
"2016-10","서울특별시","동작구","전기기기","1719"
"2016-10","서울특별시","동작구","기타기계","12945"
"2016-10","서울특별시","동작구","조립금속","1072"
"2016-10","서울특별시","동작구","1차금속","2912"
"2016-10","서울특별시","동작구","출판.인쇄","52330"
"2016-10","서울특별시","동작구","펄프.종이","5619"
"2016-10","서울특별시","동작구","목재.나무","1547"
"2016-10","서울특별시","동작구","농업.임업","6588"
"2016-10","서울특별시","동작구","관공용","3408399"
"2016-10","서울특별시","동작구","수도","2248021"
"2016-10","서울특별시","동작구","사업자용","102790"
"2016-10","서울특별시","동작구","순수써비스","45024295"
"2016-10","서울특별시","동작구","전철","506704"
"2016-10","서울특별시","동작구","기타공공용","5072378"
"2016-10","서울특별시","동작구","국군용","189562"
"2016-10","서울특별시","마포구","가정용","39196271"
"2016-10","서울특별시","마포구","사무기기","5928"
"2016-10","서울특별시","마포구","기타기계","6182"
"2016-10","서울특별시","마포구","조립금속","1361"
"2016-10","서울특별시","마포구","1차금속","4543"
"2016-10","서울특별시","마포구","출판.인쇄","429227"
"2016-10","서울특별시","마포구","펄프.종이","25726"
"2016-10","서울특별시","마포구","목재.나무","9381"
"2016-10","서울특별시","마포구","금속비금속","641"
"2016-10","서울특별시","마포구","농업.임업","12905"
"2016-10","서울특별시","마포구","시멘트","116112"
"2016-10","서울특별시","마포구","유리","1219"
"2016-10","서울특별시","마포구","고무.플라","30175"
"2016-10","서울특별시","마포구","화학제품","18983"
"2016-10","서울특별시","마포구","가죽.신발","22587"
"2016-10","서울특별시","마포구","의복.모피","1058308"
"2016-10","서울특별시","마포구","섬유","53215"
"2016-10","서울특별시","마포구","식료품제조","307532"
"2016-10","서울특별시","마포구","재생재료","653"
"2016-10","서울특별시","마포구","가구및기타","43165"
"2016-10","서울특별시","마포구","자동차","46739"
"2016-10","서울특별시","마포구","의료.광학","48912"
"2016-10","서울특별시","마포구","영상.음향","7695"
"2016-10","서울특별시","마포구","전기기기","4269"
"2016-10","서울특별시","마포구","관공용","2675319"
"2016-10","서울특별시","마포구","수도","805864"
"2016-10","서울특별시","마포구","사업자용","852732"
